Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Net Profit,TRENT,,-138,80,114,-21,115,79,155,45,167,228,371,712,391
EPS in Rs,TRENT,,-3.56,2.60,3.93,0.00,3.67,2.62,4.70,1.52,4.88,6.60,10.53,19.81,11.04
Raw PDF,TRENT,,,,,,,,,,,,,,
Sales,TVSMOTOR,,4689,6483,6597,6585,7316,8561,8066,8031,9056,9933,10114,10042,10407
Expenses,TVSMOTOR,,4274,5744,5828,5760,6420,7490,7055,6982,7852,8588,8639,8567,8960
Operating Profit,TVSMOTOR,,415,740,770,826,896,1071,1011,1049,1204,1345,1475,1476,1447
OPM %,TVSMOTOR,,9%,11%,12%,13%,12%,13%,13%,13%,13%,14%,15%,15%,14%
Other Income,TVSMOTOR,,-34,8,14,12,31,30,8,67,87,51,12,-44,41
Interest,TVSMOTOR,,221,223,234,263,292,338,339,398,437,483,494,513,503
Depreciation,TVSMOTOR,,164,182,190,207,199,212,216,232,227,237,242,269,246
Profit before tax,TVSMOTOR,,-3,343,359,368,436,550,464,486,627,676,750,650,739
Tax %,TVSMOTOR,,337%,32%,34%,25%,32%,32%,35%,31%,30%,38%,32%,37%,34%
Net Profit,TVSMOTOR,,-15,234,237,275,297,373,304,336,441,416,510,412,485
EPS in Rs,TVSMOTOR,,-0.22,5.10,5.21,5.84,6.43,8.13,6.33,7.07,9.14,8.13,10.08,8.15,9.70
Raw PDF,TVSMOTOR,,,,,,,,,,,,,,
Sales,UBL,,1119,1427,1583,1709,2439,1682,1613,1766,2275,1890,1824,2133,2475
Expenses,UBL,,1024,1262,1409,1448,2173,1463,1536,1712,2052,1706,1678,1991,2190
Operating Profit,UBL,,96,165,174,261,266,219,77,54,223,184,146,143,285
OPM %,UBL,,9%,12%,11%,15%,11%,13%,5%,3%,10%,10%,8%,7%,12%
Other Income,UBL,,6,4,6,13,10,14,-20,12,10,12,25,26,7
Interest,UBL,,4,5,4,2,1,1,2,1,2,1,2,2,2
Depreciation,UBL,,55,56,53,53,58,52,50,51,51,51,52,58,58
Profit before tax,UBL,,43,109,124,219,218,181,5,13,180,144,117,110,233
Tax %,UBL,,27%,27%,26%,25%,26%,26%,135%,27%,24%,26%,27%,26%,26%
Net Profit,UBL,,31,80,91,164,162,134,-2,10,136,107,86,82,174
EPS in Rs,UBL,,1.17,3.04,3.43,6.18,6.13,5.07,-0.07,0.37,5.15,4.06,3.23,3.07,6.56
Raw PDF,UBL,,,,,,,,,,,,,,
Sales,UNITDSPR,,1722,2508,2947,2536,2419,2911,2779,2503,2667,2867,3002,2783,2761
Expenses,UNITDSPR,,1533,2038,2429,2104,2047,2474,2407,2268,1955,2401,2516,2449,2049
Operating Profit,UNITDSPR,,188,469,519,432,372,437,372,235,712,466,486,334,712
OPM %,UNITDSPR,,11%,19%,18%,17%,15%,15%,13%,9%,27%,16%,16%,12%,26%
Other Income,UNITDSPR,,-38,4,0,-97,-12,389,-127,0,5,71,52,80,35
Interest,UNITDSPR,,25,7,39,16,22,21,24,36,4,26,16,29,22
Depreciation,UNITDSPR,,74,76,76,77,83,66,65,69,74,65,63,73,72
Profit before tax,UNITDSPR,,51,390,404,241,254,739,155,130,639,446,459,312,653
Tax %,UNITDSPR,,2%,27%,27%,26%,-3%,26%,-38%,21%,25%,24%,24%,23%,26%
Net Profit,UNITDSPR,,50,286,295,179,261,548,214,103,477,339,350,241,485
EPS in Rs,UNITDSPR,,0.76,4.02,4.12,2.50,3.66,7.61,2.95,1.41,6.56,4.66,4.81,3.31,6.67
Raw PDF,UNITDSPR,,,,,,,,,,,,,,
Sales,UNOMINDA,,1603,2114,2181,2415,2555,2877,2915,2889,3093,3621,3523,3794,3818
Expenses,UNOMINDA,,1456,1886,1946,2140,2289,2558,2577,2570,2763,3220,3143,3320,3410
Operating Profit,UNOMINDA,,147,228,235,276,266,318,338,319,330,402,380,474,408
OPM %,UNOMINDA,,9%,11%,11%,11%,10%,11%,12%,11%,11%,11%,11%,12%,11%
Other Income,UNOMINDA,,6,21,32,53,31,45,29,44,38,62,52,94,48
Interest,UNOMINDA,,19,18,13,13,17,19,13,21,25,27,29,32,36
Depreciation,UNOMINDA,,90,97,94,110,99,107,115,108,119,125,133,149,142
Profit before tax,UNOMINDA,,44,134,160,204,181,237,240,234,224,311,270,387,277
Tax %,UNOMINDA,,32%,31%,26%,24%,17%,23%,27%,17%,20%,24%,24%,22%,24%
Net Profit,UNOMINDA,,25,113,118,156,150,182,174,194,180,238,205,302,211
EPS in Rs,UNOMINDA,,0.28,1.66,1.77,2.53,2.43,2.97,2.83,3.19,3.01,3.93,3.37,5.04,3.47
Raw PDF,UNOMINDA,,,,,,,,,,,,,,
Sales,VBL,,2450,2398,1734,2827,4955,3177,2214,3893,5611,3871,2668,4317,7197
Expenses,VBL,,1879,1904,1527,2296,3704,2478,1907,3095,4101,2989,2249,3329,5206
Operating Profit,VBL,,571,495,208,531,1251,699,307,798,1511,882,418,989,1991
OPM %,VBL,,23%,21%,12%,19%,25%,22%,14%,20%,27%,23%,16%,23%,28%
Other Income,VBL,,24,37,1,9,10,11,9,10,42,19,9,8,44
Interest,VBL,,47,43,37,47,46,45,47,63,69,62,74,94,129
Depreciation,VBL,,129,138,129,131,153,153,180,172,172,171,166,188,242
Profit before tax,VBL,,420,350,42,361,1062,511,90,573,1311,667,188,716,1663
Tax %,VBL,,24%,26%,22%,25%,24%,23%,9%,24%,23%,23%,24%,23%,24%
Net Profit,VBL,,319,258,33,271,802,395,82,439,1005,514,144,548,1262
EPS in Rs,VBL,,2.37,1.85,0.13,1.96,6.06,2.93,0.58,3.30,7.65,3.86,1.02,4.13,9.64
Raw PDF,VBL,,,,,,,,,,,,,,
Sales,VINATIORGA,,386,374,369,486,506,566,517,519,439,463,448,550,525
Expenses,VINATIORGA,,285,273,276,347,375,418,369,372,338,358,333,400,400
Operating Profit,VINATIORGA,,102,101,93,139,131,148,148,147,100,105,115,150,125
OPM %,VINATIORGA,,26%,27%,25%,29%,26%,26%,29%,28%,23%,23%,26%,27%,24%
Other Income,VINATIORGA,,18,14,15,15,19,20,11,12,10,11,9,10,9
Interest,VINATIORGA,,0,0,0,0,0,0,0,1,1,1,1,1,0
Depreciation,VINATIORGA,,11,11,12,12,13,13,17,17,17,17,19,20,21
Profit before tax,VINATIORGA,,108,103,96,142,136,155,142,142,92,97,103,139,112
Tax %,VINATIORGA,,25%,21%,13%,29%,26%,25%,25%,26%,25%,25%,25%,25%,25%
Net Profit,VINATIORGA,,81,81,83,101,101,116,107,105,69,72,77,104,84
EPS in Rs,VINATIORGA,,7.87,7.91,8.10,9.84,9.85,11.29,10.40,10.18,6.75,7.05,7.49,10.05,8.12
Raw PDF,VINATIORGA,,,,,,,,,,,,,,
Sales,MANYAVAR,,160,200,385,296,325,247,441,342,312,218,474,363,240
Expenses,MANYAVAR,,91,109,193,152,162,131,217,174,163,125,232,188,127
Operating Profit,MANYAVAR,,69,91,191,144,163,115,224,168,148,93,242,175,113
OPM %,MANYAVAR,,43%,46%,50%,49%,50%,47%,51%,49%,48%,43%,51%,48%,47%
Other Income,MANYAVAR,,19,9,11,11,7,10,10,13,15,15,15,24,21
Interest,MANYAVAR,,6,7,8,9,8,8,7,8,9,11,11,13,14
Depreciation,MANYAVAR,,21,22,24,27,26,25,25,27,30,32,34,38,37
Profit before tax,MANYAVAR,,61,71,171,120,136,93,202,145,124,65,212,148,83
Tax %,MANYAVAR,,26%,25%,25%,26%,26%,25%,26%,25%,26%,25%,26%,22%,25%
Net Profit,MANYAVAR,,45,53,128,89,101,69,150,109,92,49,158,116,62
EPS in Rs,MANYAVAR,,3.65,2.20,5.27,3.65,4.16,2.84,6.19,4.48,3.79,2.01,6.49,4.77,2.57
Raw PDF,MANYAVAR,,,,,,,,,,,,,,
Sales,VOLTAS,,1785,1689,1794,2667,2768,1768,2006,2957,3360,2293,2626,4203,4921
Expenses,VOLTAS,,1680,1579,1670,2434,2622,1696,1962,2767,3206,2256,2633,4051,4527
Operating Profit,VOLTAS,,105,110,124,232,146,72,44,190,154,37,-8,152,394
OPM %,VOLTAS,,6%,7%,7%,9%,5%,4%,2%,6%,5%,2%,-0%,4%,8%
Other Income,VOLTAS,,75,48,29,37,27,-42,-107,47,70,71,58,54,80
Interest,VOLTAS,,4,6,4,13,4,7,6,12,10,11,14,21,10
Depreciation,VOLTAS,,9,10,10,9,8,10,11,10,11,12,13,12,13
Profit before tax,VOLTAS,,168,143,139,247,160,13,-80,214,203,85,24,174,452
Tax %,VOLTAS,,27%,27%,31%,26%,32%,145%,37%,33%,36%,58%,216%,36%,26%
Net Profit,VOLTAS,,122,104,97,183,110,-6,-110,143,129,36,-28,111,335
EPS in Rs,VOLTAS,,3.68,3.13,2.90,5.52,3.29,-0.22,-3.34,4.35,3.91,1.11,-0.92,3.52,10.10
Raw PDF,VOLTAS,,,,,,,,,,,,,,
Sales,WESTLIFE,,259.16,385.43,476.83,455.07,537.92,572.43,611.45,556.37,614.54,614.73,600.25,562.28,616.33
Expenses,WESTLIFE,,256.65,340.99,397.48,392.15,450.66,476.50,509.26,467.70,510.38,516.51,508.23,487.35,537.71
Operating Profit,WESTLIFE,,2.51,44.44,79.35,62.92,87.26,95.93,102.19,88.67,104.16,98.22,92.02,74.93,78.62
OPM %,WESTLIFE,,0.97%,11.53%,16.64%,13.83%,16.22%,16.76%,16.71%,15.94%,16.95%,15.98%,15.33%,13.33%,12.76%
Other Income,WESTLIFE,,6.41,3.95,4.27,13.11,1.81,5.19,7.75,5.59,5.28,3.30,4.70,5.18,5.11
Interest,WESTLIFE,,20.32,20.44,21.01,20.86,21.52,22.54,23.37,25.33,26.01,27.38,28.12,28.21,29.83
Depreciation,WESTLIFE,,33.20,33.82,34.75,34.63,35.79,36.63,38.56,41.20,42.85,43.94,45.50,49.94,49.38
Profit before tax,WESTLIFE,,-44.60,-5.87,27.86,20.54,31.76,41.95,48.01,27.73,40.58,30.20,23.10,1.96,4.52
Tax %,WESTLIFE,,-25.13%,-24.70%,25.27%,25.46%,25.76%,24.82%,24.24%,27.55%,28.98%,25.96%,25.32%,60.71%,27.88%
Net Profit,WESTLIFE,,-33.39,-4.42,20.82,15.32,23.58,31.54,36.37,20.09,28.83,22.37,17.24,0.76,3.25
EPS in Rs,WESTLIFE,,-2.14,-0.28,1.34,0.98,1.51,2.02,2.33,1.29,1.85,1.43,1.11,0.05,0.21
Raw PDF,WESTLIFE,,,,,,,,,,,,,,
Sales,WIPRO,,18467,19669,20315,20861,21529,22540,23229,23190,22831,22516,22205,22208,21964
Expenses,WIPRO,,14272,15500,16134,16724,17671,18608,18690,18671,18627,18546,18007,17828,17614
Operating Profit,WIPRO,,4195,4169,4181,4136,3858,3932,4539,4519,4204,3970,4198,4381,4350
OPM %,WIPRO,,23%,21%,21%,20%,18%,17%,20%,19%,18%,18%,19%,20%,20%
Other Income,WIPRO,,579,505,484,502,472,512,649,632,640,740,598,653,730
Interest,WIPRO,,75,146,140,172,204,227,290,286,309,303,312,331,329
Depreciation,WIPRO,,826,772,746,734,774,797,923,847,738,897,932,840,729
Profit before tax,WIPRO,,3873,3756,3779,3732,3352,3420,3975,4018,3798,3509,3552,3862,4022
Tax %,WIPRO,,16%,22%,21%,17%,24%,23%,23%,23%,24%,24%,24%,26%,24%
Net Profit,WIPRO,,3248,2931,2972,3092,2559,2649,3065,3094,2886,2667,2701,2858,3037
EPS in Rs,WIPRO,,5.92,5.35,5.42,5.63,4.68,4.85,5.56,5.60,5.23,5.07,5.16,5.42,5.74
Raw PDF,WIPRO,,,,,,,,,,,,,,
Sales,YASHO,,132.01,134.38,163.81,182.46,177.24,193.47,148.88,151.97,150.31,141.09,129.87,172.03,172.87
Expenses,YASHO,,111.72,112.22,138.18,157.57,147.54,157.80,125.71,125.53,124.85,120.45,107.59,140.88,151.12
Operating Profit,YASHO,,20.29,22.16,25.63,24.89,29.70,35.67,23.17,26.44,25.46,20.64,22.28,31.15,21.75
OPM %,YASHO,,15.37%,16.49%,15.65%,13.64%,16.76%,18.44%,15.56%,17.40%,16.94%,14.63%,17.16%,18.11%,12.58%
Other Income,YASHO,,2.05,2.86,2.55,2.87,4.10,1.69,3.75,1.51,1.36,2.40,3.61,0.30,1.95
Interest,YASHO,,3.42,3.47,3.78,3.11,3.95,3.92,3.95,3.76,2.97,3.88,3.55,4.47,14.02
Depreciation,YASHO,,3.49,3.61,6.35,5.22,4.88,5.04,5.19,4.73,3.87,3.87,3.91,3.97,11.72
Profit before tax,YASHO,,15.43,17.94,18.05,19.43,24.97,28.40,17.78,19.46,19.98,15.29,18.43,23.01,-2.04
Tax %,YASHO,,29.23%,24.36%,19.72%,31.45%,22.43%,21.30%,41.17%,19.42%,25.98%,23.74%,26.53%,22.03%,20.59%
Net Profit,YASHO,,10.91,13.56,14.49,13.32,19.37,22.35,10.46,15.68,14.79,11.66,13.54,17.94,-2.46
EPS in Rs,YASHO,,10.01,12.44,12.71,11.69,16.99,19.61,9.18,13.76,12.97,10.23,11.88,15.74,-2.16
Raw PDF,YASHO,,,,,,,,,,,,,,
Sales,ZENTEC,,10,16,16,28,37,33,52,96,132,66,100,141,255
Expenses,ZENTEC,,11,16,15,23,26,23,36,61,64,48,57,91,143
Operating Profit,ZENTEC,,-1,-0,1,5,11,10,17,35,69,19,42,50,111
OPM %,ZENTEC,,-10%,-1%,6%,17%,29%,30%,32%,37%,52%,29%,43%,36%,44%
Other Income,ZENTEC,,1,1,1,2,2,3,4,-0,3,5,4,5,3
Interest,ZENTEC,,0,0,0,1,1,1,2,1,0,1,1,1,1
Depreciation,ZENTEC,,1,1,1,1,2,1,2,2,2,2,3,3,3
Profit before tax,ZENTEC,,-2,-1,0,5,11,11,17,33,69,22,44,52,110
Tax %,ZENTEC,,-6%,16%,173%,3%,34%,31%,30%,29%,30%,37%,32%,27%,28%
Net Profit,ZENTEC,,-2,-1,-0,5,7,8,12,23,48,14,30,38,79
EPS in Rs,ZENTEC,,-0.14,-0.00,-0.02,0.42,0.94,0.71,1.19,2.54,5.60,1.82,3.64,4.16,9.14
Raw PDF,ZENTEC,,,,,,,,,,,,,,
