Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Interest,MAPMYINDIA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,3,,,2,,,3,,,3
Depreciation,MAPMYINDIA,16,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,10,,,10,,,8,,,10,,,15
Profit before tax,MAPMYINDIA,180,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,32,,,79,,,117,,,139,,,175
Tax %,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,27%,,,24%,,,26%,,,23%,,,23%
Net Profit,MAPMYINDIA,138,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,23,,,60,,,87,,,108,,,134
EPS in Rs,MAPMYINDIA,25.44,,,,,,,,,,,,,,,,,,,,,,,,,,,87.59,,,60.53,,,156.07,,,16.34,,,19.99,,,24.77
Dividend Payout %,MAPMYINDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,12%,,,25%,,,14%
Sales,MARICO,9819,,,,,,,4596,,,4687,,,,5733,,,,6017,,,5918,,,6322,,,7334,,,7315,,,8048,,,9512,,,9764,,,9653
Expenses,MARICO,7741,,,,,,,3970,,,3939,,,,4863,,,,4966,,,4759,,,5185,,,6009,,,5846,,,6459,,,7831,,,7954,,,7627
Operating Profit,MARICO,2078,,,,,,,626,,,748,,,,870,,,,1051,,,1159,,,1137,,,1325,,,1469,,,1589,,,1681,,,1810,,,2026
OPM %,MARICO,21%,,,,,,,14%,,,16%,,,,15%,,,,17%,,,20%,,,18%,,,18%,,,20%,,,20%,,,18%,,,19%,,,21%
Other Income,MARICO,133,,,,,,,70,,,58,,,,59,,,,93,,,96,,,85,,,103,,,95,,,107,,,98,,,144,,,142
Interest,MARICO,73,,,,,,,58,,,34,,,,23,,,,21,,,17,,,16,,,40,,,50,,,34,,,39,,,56,,,73
Depreciation,MARICO,163,,,,,,,87,,,77,,,,84,,,,95,,,90,,,89,,,131,,,140,,,139,,,139,,,155,,,158
Profit before tax,MARICO,1975,,,,,,,552,,,695,,,,822,,,,1029,,,1149,,,1117,,,1257,,,1374,,,1523,,,1601,,,1743,,,1937
Tax %,MARICO,,,,,,,,26%,,,27%,,,,29%,,,,30%,,,29%,,,26%,,,10%,,,24%,,,21%,,,22%,,,24%,,,22%
Net Profit,MARICO,1540,,,,,,,406,,,504,,,,585,,,,723,,,811,,,827,,,1131,,,1043,,,1199,,,1255,,,1322,,,1502
EPS in Rs,MARICO,11.73,,,,,,,3.07,,,3.76,,,,4.45,,,,5.51,,,6.19,,,6.31,,,8.63,,,7.91,,,9.08,,,9.48,,,10.07,,,11.44
Dividend Payout %,MARICO,,,,,,,,16%,,,46%,,,,28%,,,,77%,,,57%,,,67%,,,55%,,,85%,,,83%,,,97%,,,45%,,,83%
Sales,MARUTI,145103,,,,,,,44304,,,44542,,,,50801,,,,57589,,,68085,,,79809,,,86068,,,75660,,,70372,,,88330,,,118410,,,141858
Expenses,MARUTI,125017,,,,,,,39944,,,39232,,,,43909,,,,48565,,,57664,,,67692,,,75012,,,68305,,,64961,,,82578,,,105288,,,123232
Operating Profit,MARUTI,20085,,,,,,,4361,,,5310,,,,6892,,,,9024,,,10421,,,12118,,,11056,,,7355,,,5411,,,5752,,,13122,,,18626
OPM %,MARUTI,14%,,,,,,,10%,,,12%,,,,14%,,,,16%,,,15%,,,15%,,,13%,,,10%,,,8%,,,7%,,,11%,,,13%
Other Income,MARUTI,4384,,,,,,,797,,,724,,,,817,,,,1464,,,2399,,,2155,,,2664,,,3410,,,3046,,,1861,,,2415,,,4248
Interest,MARUTI,204,,,,,,,198,,,184,,,,218,,,,82,,,89,,,346,,,76,,,134,,,102,,,127,,,252,,,194
Depreciation,MARUTI,5273,,,,,,,1890,,,2116,,,,2515,,,,2822,,,2604,,,2760,,,3021,,,3528,,,3034,,,2789,,,4846,,,5256
Profit before tax,MARUTI,18991,,,,,,,3070,,,3734,,,,4976,,,,7585,,,10127,,,11167,,,10624,,,7103,,,5321,,,4697,,,10438,,,17424
Tax %,MARUTI,,,,,,,,20%,,,24%,,,,24%,,,,28%,,,26%,,,29%,,,28%,,,20%,,,18%,,,17%,,,21%,,,23%
Net Profit,MARUTI,14705,,,,,,,2470,,,2854,,,,3809,,,,5497,,,7511,,,7881,,,7651,,,5678,,,4389,,,3880,,,8264,,,13488
EPS in Rs,MARUTI,472.62,,,,,,,81.74,,,94.44,,,,126.04,,,,181.98,,,248.61,,,260.86,,,253.21,,,187.90,,,145.30,,,128.43,,,273.56,,,429.01
Dividend Payout %,MARUTI,,,,,,,,10%,,,13%,,,,20%,,,,19%,,,30%,,,31%,,,32%,,,32%,,,31%,,,47%,,,34%,,,29%
Sales,MAZDOCK,9651,,,,,,,,,,,,,,3605,,,,4094,,,3505,,,4457,,,4614,,,4905,,,4048,,,5733,,,7827,,,9467
Expenses,MAZDOCK,7769,,,,,,,,,,,,,,3383,,,,3874,,,3375,,,4300,,,4353,,,4642,,,3822,,,5292,,,7027,,,8055
Operating Profit,MAZDOCK,1882,,,,,,,,,,,,,,222,,,,221,,,129,,,157,,,261,,,263,,,226,,,441,,,801,,,1412
OPM %,MAZDOCK,20%,,,,,,,,,,,,,,6%,,,,5%,,,4%,,,4%,,,6%,,,5%,,,6%,,,8%,,,10%,,,15%
Other Income,MAZDOCK,1140,,,,,,,,,,,,,,563,,,,761,,,766,,,565,,,617,,,546,,,448,,,396,,,687,,,1101
Interest,MAZDOCK,5,,,,,,,,,,,,,,8,,,,16,,,17,,,20,,,36,,,13,,,11,,,14,,,9,,,5
Depreciation,MAZDOCK,87,,,,,,,,,,,,,,31,,,,44,,,39,,,52,,,64,,,69,,,60,,,75,,,76,,,83
Profit before tax,MAZDOCK,2930,,,,,,,,,,,,,,746,,,,922,,,839,,,650,,,778,,,727,,,604,,,749,,,1403,,,2425
Tax %,MAZDOCK,,,,,,,,,,,,,,,34%,,,,39%,,,37%,,,39%,,,40%,,,48%,,,25%,,,25%,,,25%,,,25%
Net Profit,MAZDOCK,2319,,,,,,,,,,,,,,516,,,,596,,,585,,,496,,,532,,,471,,,514,,,611,,,1119,,,1937
EPS in Rs,MAZDOCK,114.96,,,,,,,,,,,,,,258.91,,,,298.97,,,234.98,,,22.14,,,23.76,,,23.33,,,25.48,,,30.29,,,55.48,,,96.04
Dividend Payout %,MAZDOCK,,,,,,,,,,,,,,,19%,,,,17%,,,34%,,,49%,,,19%,,,46%,,,28%,,,29%,,,29%,,,16%
Sales,METROBRAND,2297,,,,,,,,,,636,,,,702,,,,767,,,868,,,1034,,,1155,,,1210,,,789,,,1312,,,2052,,,2305
Expenses,METROBRAND,1591,,,,,,,,,,520,,,,577,,,,632,,,722,,,818,,,925,,,867,,,608,,,906,,,1370,,,1602
Operating Profit,METROBRAND,705,,,,,,,,,,116,,,,125,,,,135,,,146,,,216,,,230,,,343,,,181,,,407,,,682,,,703
OPM %,METROBRAND,31%,,,,,,,,,,18%,,,,18%,,,,18%,,,17%,,,21%,,,20%,,,28%,,,23%,,,31%,,,33%,,,30%
Other Income,METROBRAND,81,,,,,,,,,,3,,,,7,,,,3,,,9,,,8,,,17,,,23,,,76,,,55,,,53,,,69
Interest,METROBRAND,81,,,,,,,,,,0,,,,0,,,,0,,,0,,,0,,,0,,,39,,,44,,,50,,,62,,,78
Depreciation,METROBRAND,230,,,,,,,,,,11,,,,12,,,,13,,,16,,,19,,,22,,,120,,,121,,,134,,,175,,,228
Profit before tax,METROBRAND,475,,,,,,,,,,108,,,,120,,,,125,,,139,,,205,,,224,,,207,,,91,,,278,,,498,,,466
Tax %,METROBRAND,,,,,,,,,,,34%,,,,34%,,,,34%,,,34%,,,34%,,,34%,,,27%,,,20%,,,25%,,,25%,,,10%
Net Profit,METROBRAND,432,,,,,,,,,,72,,,,79,,,,82,,,92,,,135,,,148,,,152,,,73,,,208,,,373,,,418
EPS in Rs,METROBRAND,15.89,,,,,,,,,,48.64,,,,53.84,,,,55.71,,,62.13,,,91.78,,,11.14,,,11.44,,,2.73,,,7.65,,,13.73,,,15.37
Dividend Payout %,METROBRAND,,,,,,,,,,,23%,,,,22%,,,,22%,,,22%,,,22%,,,22%,,,26%,,,55%,,,29%,,,29%,,,33%
Sales,MOLDTECH,163,,,,,,,35,,,40,,,,47,,,,53,,,65,,,74,,,89,,,101,,,83,,,98,,,147,,,161
Expenses,MOLDTECH,123,,,,,,,28,,,33,,,,37,,,,46,,,56,,,64,,,70,,,81,,,68,,,78,,,105,,,119
Operating Profit,MOLDTECH,40,,,,,,,7,,,7,,,,10,,,,7,,,9,,,10,,,19,,,20,,,15,,,20,,,42,,,42
OPM %,MOLDTECH,25%,,,,,,,20%,,,18%,,,,21%,,,,13%,,,14%,,,14%,,,21%,,,20%,,,18%,,,20%,,,29%,,,26%
Other Income,MOLDTECH,3,,,,,,,-1,,,-0,,,,1,,,,4,,,3,,,0,,,2,,,1,,,5,,,3,,,2,,,2
Interest,MOLDTECH,1,,,,,,,1,,,1,,,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,1,,,1
Depreciation,MOLDTECH,7,,,,,,,3,,,3,,,,2,,,,2,,,3,,,3,,,4,,,6,,,5,,,4,,,5,,,6
Profit before tax,MOLDTECH,35,,,,,,,2,,,3,,,,7,,,,8,,,9,,,7,,,17,,,14,,,14,,,18,,,39,,,37
Tax %,MOLDTECH,,,,,,,,45%,,,37%,,,,25%,,,,25%,,,28%,,,16%,,,28%,,,22%,,,29%,,,26%,,,25%,,,25%
Net Profit,MOLDTECH,27,,,,,,,1,,,2,,,,5,,,,6,,,6,,,6,,,12,,,11,,,10,,,13,,,29,,,28
EPS in Rs,MOLDTECH,9.40,,,,,,,0.50,,,0.89,,,,2.23,,,,2.17,,,2.28,,,2.01,,,4.28,,,3.85,,,3.57,,,4.71,,,10.36,,,9.81
Dividend Payout %,MOLDTECH,,,,,,,,48%,,,41%,,,,32%,,,,37%,,,26%,,,35%,,,33%,,,39%,,,39%,,,59%,,,29%,,,20%
Sales,MOLDTKPAC,709,,,,,,,187,,,245,,,,276,,,,267,,,301,,,339,,,394,,,437,,,479,,,631,,,730,,,699
Expenses,MOLDTKPAC,576,,,,,,,167,,,215,,,,235,,,,221,,,249,,,276,,,322,,,357,,,383,,,511,,,594,,,565
Operating Profit,MOLDTKPAC,134,,,,,,,20,,,30,,,,40,,,,46,,,52,,,64,,,72,,,80,,,96,,,121,,,136,,,133
OPM %,MOLDTKPAC,19%,,,,,,,11%,,,12%,,,,15%,,,,17%,,,17%,,,19%,,,18%,,,18%,,,20%,,,19%,,,19%,,,19%
Other Income,MOLDTKPAC,2,,,,,,,-0,,,-1,,,,1,,,,0,,,2,,,1,,,-10,,,-2,,,-1,,,1,,,1,,,1
Interest,MOLDTKPAC,9,,,,,,,6,,,9,,,,8,,,,1,,,2,,,4,,,7,,,10,,,10,,,9,,,4,,,7
Depreciation,MOLDTKPAC,41,,,,,,,5,,,7,,,,8,,,,8,,,10,,,12,,,15,,,19,,,21,,,26,,,30,,,38
Profit before tax,MOLDTKPAC,86,,,,,,,9,,,14,,,,25,,,,37,,,41,,,49,,,40,,,49,,,64,,,87,,,103,,,89
Tax %,MOLDTKPAC,,,,,,,,34%,,,35%,,,,33%,,,,34%,,,35%,,,35%,,,40%,,,22%,,,25%,,,26%,,,22%,,,25%
Net Profit,MOLDTKPAC,64,,,,,,,6,,,9,,,,17,,,,24,,,27,,,32,,,24,,,38,,,48,,,64,,,80,,,67
EPS in Rs,MOLDTKPAC,19.39,,,,,,,2.51,,,3.94,,,,5.98,,,,8.55,,,9.54,,,11.24,,,8.55,,,13.49,,,17.31,,,20.37,,,24.25,,,20.04
Dividend Payout %,MOLDTKPAC,,,,,,,,49%,,,37%,,,,33%,,,,37%,,,37%,,,35%,,,46%,,,36%,,,41%,,,39%,,,25%,,,0%
Sales,MOTHERSON,105044,,,,,,,25298,,,30414,,,,34661,,,,37216,,,42376,,,56303,,,63523,,,60729,,,57370,,,63774,,,78788,,,98692
Expenses,MOTHERSON,95129,,,,,,,23819,,,28017,,,,31817,,,,33668,,,38204,,,51174,,,58174,,,56075,,,53000,,,59060,,,72537,,,89370
Operating Profit,MOTHERSON,9915,,,,,,,1480,,,2397,,,,2844,,,,3548,,,4171,,,5128,,,5348,,,4654,,,4370,,,4714,,,6251,,,9322
OPM %,MOTHERSON,9%,,,,,,,6%,,,8%,,,,8%,,,,10%,,,10%,,,9%,,,8%,,,8%,,,8%,,,7%,,,8%,,,9%
Other Income,MOTHERSON,501,,,,,,,318,,,311,,,,212,,,,177,,,346,,,125,,,333,,,642,,,568,,,575,,,70,,,140
Interest,MOTHERSON,2003,,,,,,,250,,,294,,,,318,,,,345,,,375,,,411,,,423,,,593,,,512,,,543,,,781,,,1811
Depreciation,MOTHERSON,4036,,,,,,,714,,,817,,,,921,,,,1087,,,1059,,,1575,,,2058,,,2721,,,2926,,,2958,,,3136,,,3810
Profit before tax,MOTHERSON,4376,,,,,,,834,,,1596,,,,1817,,,,2293,,,3083,,,3267,,,3200,,,1983,,,1500,,,1788,,,2405,,,3840
Tax %,MOTHERSON,,,,,,,,46%,,,31%,,,,29%,,,,23%,,,30%,,,31%,,,34%,,,35%,,,-5%,,,34%,,,31%,,,21%
Net Profit,MOTHERSON,3469,,,,,,,452,,,1097,,,,1292,,,,1774,,,2172,,,2260,,,2098,,,1294,,,1569,,,1182,,,1670,,,3020
EPS in Rs,MOTHERSON,4.59,,,,,,,1.00,,,1.71,,,,1.93,,,,2.89,,,3.28,,,3.37,,,3.41,,,2.47,,,2.19,,,1.29,,,2.21,,,4.01
Dividend Payout %,MOTHERSON,,,,,,,,26%,,,29%,,,,31%,,,,26%,,,18%,,,30%,,,29%,,,40%,,,46%,,,34%,,,29%,,,20%
Sales,MTARTECH,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,246,,,322,,,574,,,581
Expenses,MTARTECH,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,163,,,228,,,420,,,468
Operating Profit,MTARTECH,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,83,,,94,,,154,,,113
OPM %,MTARTECH,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,,,34%,,,29%,,,27%,,,19%
Other Income,MTARTECH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,9,,,19,,,6
Interest,MTARTECH,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,7,,,7,,,15,,,22
Depreciation,MTARTECH,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,13,,,14,,,19,,,23
Profit before tax,MTARTECH,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,65,,,82,,,140,,,73
Tax %,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,,29%,,,26%,,,26%,,,23%
Net Profit,MTARTECH,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,46,,,61,,,103,,,56
EPS in Rs,MTARTECH,13.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.70,,,14.98,,,19.79,,,33.62,,,18.24
Dividend Payout %,MTARTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43%,,,40%,,,15%,,,0%,,,0%
Sales,MUFTI,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,341,,,498,,,567
Expenses,MUFTI,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,245,,,334,,,406
Operating Profit,MUFTI,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,96,,,164,,,161
OPM %,MUFTI,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,28%,,,33%,,,28%
Other Income,MUFTI,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,13,,,11,,,4
Interest,MUFTI,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,15,,,18,,,24
Depreciation,MUFTI,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,46,,,53,,,62
Profit before tax,MUFTI,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,48,,,104,,,79
Tax %,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,25%,,,25%,,,25%
Net Profit,MUFTI,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,36,,,78,,,59
EPS in Rs,MUFTI,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,,111.97,,,241.08,,,9.18
Dividend Payout %,MUFTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,5%
Revenue,MUTHOOTFIN,16064,,,,,,,,,,,,,,4336,,,,4936,,,5935,,,6714,,,7594,,,9684,,,11535,,,12186,,,11898,,,15062
Interest,MUTHOOTFIN,5789,,,,,,,,,,,,,,2114,,,,2288,,,2374,,,2132,,,2543,,,3180,,,4109,,,4268,,,4225,,,5430
Expenses,MUTHOOTFIN,4024,,,,,,,,,,,,,,1110,,,,1268,,,1554,,,1656,,,1747,,,2207,,,2259,,,2490,,,2747,,,3644
Financing Profit,MUTHOOTFIN,6251,,,,,,,,,,,,,,1112,,,,1381,,,2007,,,2927,,,3305,,,4298,,,5167,,,5428,,,4926,,,5988
Financing Margin %,MUTHOOTFIN,39%,,,,,,,,,,,,,,26%,,,,28%,,,34%,,,44%,,,44%,,,44%,,,45%,,,45%,,,41%,,,40%
Other Income,MUTHOOTFIN,83,,,,,,,,,,,,,,1,,,,5,,,3,,,67,,,6,,,22,,,32,,,52,,,75,,,101
Depreciation,MUTHOOTFIN,99,,,,,,,,,,,,,,84,,,,59,,,52,,,52,,,52,,,59,,,67,,,70,,,78,,,92
Profit before tax,MUTHOOTFIN,6235,,,,,,,,,,,,,,1029,,,,1327,,,1959,,,2942,,,3260,,,4260,,,5131,,,5410,,,4923,,,5996
Tax %,MUTHOOTFIN,,,,,,,,,,,,,,,35%,,,,38%,,,38%,,,37%,,,35%,,,26%,,,26%,,,25%,,,25%,,,26%
Net Profit,MUTHOOTFIN,4619,,,,,,,,,,,,,,672,,,,818,,,1200,,,1844,,,2103,,,3169,,,3819,,,4031,,,3670,,,4468
EPS in Rs,MUTHOOTFIN,111.24,,,,,,,,,,,,,,16.86,,,,20.41,,,30.03,,,45.74,,,51.86,,,78.25,,,94.83,,,100.08,,,89.98,,,107.71
Dividend Payout %,MUTHOOTFIN,,,,,,,,,,,,,,,36%,,,,29%,,,20%,,,22%,,,23%,,,19%,,,21%,,,20%,,,24%,,,22%
Sales,NAUKRI,2587,,,,,,,472,,,567,,,,732,,,,748,,,888,,,988,,,1151,,,1312,,,1128,,,1589,,,2346,,,2536
Expenses,NAUKRI,1860,,,,,,,351,,,471,,,,711,,,,656,,,896,,,769,,,1142,,,1662,,,1054,,,1143,,,1997,,,1825
Operating Profit,NAUKRI,727,,,,,,,121,,,97,,,,21,,,,91,,,-9,,,219,,,9,,,-350,,,74,,,446,,,348,,,711
OPM %,NAUKRI,28%,,,,,,,26%,,,17%,,,,3%,,,,12%,,,-1%,,,22%,,,1%,,,-27%,,,7%,,,28%,,,15%,,,28%
Other Income,NAUKRI,393,,,,,,,24,,,48,,,,89,,,,111,,,50,,,401,,,737,,,286,,,1584,,,13810,,,-116,,,303
Interest,NAUKRI,24,,,,,,,3,,,3,,,,4,,,,3,,,4,,,5,,,7,,,14,,,11,,,11,,,18,,,35
Depreciation,NAUKRI,103,,,,,,,12,,,21,,,,47,,,,24,,,33,,,30,,,22,,,48,,,45,,,45,,,73,,,101
Profit before tax,NAUKRI,993,,,,,,,130,,,120,,,,60,,,,175,,,5,,,585,,,716,,,-126,,,1602,,,14200,,,141,,,878
Tax %,NAUKRI,,,,,,,,41%,,,49%,,,,124%,,,,33%,,,935%,,,14%,,,17%,,,95%,,,12%,,,9%,,,150%,,,32%
Net Profit,NAUKRI,706,,,,,,,76,,,60,,,,-14,,,,118,,,-43,,,501,,,592,,,-246,,,1418,,,12882,,,-70,,,595
EPS in Rs,NAUKRI,50.23,,,,,,,8.39,,,8.21,,,,2.00,,,,11.21,,,-1.95,,,42.05,,,49.43,,,-19.39,,,109.98,,,990.77,,,-8.31,,,44.46
Dividend Payout %,NAUKRI,,,,,,,,12%,,,30%,,,,150%,,,,27%,,,-230%,,,13%,,,12%,,,-31%,,,7%,,,1%,,,-228%,,,49%
Sales,NAVINFLUOR,2098,,,,,,,550,,,486,,,,592,,,,680,,,742,,,913,,,996,,,1062,,,1179,,,1453,,,2077,,,2065
Expenses,NAVINFLUOR,1713,,,,,,,467,,,420,,,,519,,,,561,,,582,,,693,,,777,,,794,,,870,,,1098,,,1527,,,1666
Operating Profit,NAVINFLUOR,384,,,,,,,83,,,66,,,,72,,,,118,,,159,,,220,,,219,,,268,,,309,,,356,,,550,,,399
OPM %,NAVINFLUOR,18%,,,,,,,15%,,,14%,,,,12%,,,,17%,,,21%,,,24%,,,22%,,,25%,,,26%,,,24%,,,26%,,,19%
Other Income,NAVINFLUOR,110,,,,,,,14,,,31,,,,29,,,,23,,,55,,,88,,,34,,,29,,,94,,,38,,,36,,,107
Interest,NAVINFLUOR,71,,,,,,,6,,,6,,,,3,,,,4,,,3,,,1,,,1,,,2,,,2,,,2,,,28,,,75
Depreciation,NAVINFLUOR,102,,,,,,,21,,,22,,,,20,,,,22,,,30,,,40,,,28,,,37,,,44,,,48,,,63,,,96
Profit before tax,NAVINFLUOR,322,,,,,,,70,,,69,,,,78,,,,116,,,182,,,266,,,224,,,258,,,358,,,344,,,496,,,336
Tax %,NAVINFLUOR,,,,,,,,37%,,,21%,,,,26%,,,,28%,,,25%,,,32%,,,34%,,,-56%,,,31%,,,24%,,,24%,,,19%
Net Profit,NAVINFLUOR,260,,,,,,,44,,,68,,,,58,,,,84,,,137,,,180,,,149,,,409,,,258,,,263,,,375,,,270
EPS in Rs,NAVINFLUOR,52.47,,,,,,,8.89,,,13.47,,,,11.18,,,,17.08,,,27.88,,,36.43,,,30.15,,,82.57,,,52.02,,,53.09,,,75.68,,,54.56
Dividend Payout %,NAVINFLUOR,,,,,,,,34%,,,24%,,,,29%,,,,25%,,,23%,,,27%,,,26%,,,13%,,,21%,,,21%,,,16%,,,27%
Sales,NAZARA,1134,,,,,,,,,,,,,,,,,,211,,,190,,,172,,,170,,,248,,,454,,,622,,,1091,,,1138
Expenses,NAZARA,1045,,,,,,,,,,,,,,,,,,135,,,129,,,123,,,154,,,255,,,415,,,536,,,989,,,1041
Operating Profit,NAZARA,89,,,,,,,,,,,,,,,,,,76,,,61,,,49,,,15,,,-7,,,39,,,86,,,102,,,98
OPM %,NAZARA,8%,,,,,,,,,,,,,,,,,,36%,,,32%,,,28%,,,9%,,,-3%,,,9%,,,14%,,,9%,,,9%
Other Income,NAZARA,79,,,,,,,,,,,,,,,,,,8,,,12,,,-26,,,16,,,15,,,14,,,24,,,47,,,65
Interest,NAZARA,6,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,1,,,1,,,1,,,1,,,6,,,7
Depreciation,NAZARA,67,,,,,,,,,,,,,,,,,,1,,,1,,,8,,,20,,,26,,,36,,,39,,,57,,,67
Profit before tax,NAZARA,94,,,,,,,,,,,,,,,,,,83,,,72,,,13,,,11,,,-20,,,17,,,70,,,87,,,89
Tax %,NAZARA,,,,,,,,,,,,,,,,,,,22%,,,15%,,,92%,,,38%,,,37%,,,18%,,,27%,,,29%,,,16%
Net Profit,NAZARA,78,,,,,,,,,,,,,,,,,,65,,,61,,,1,,,7,,,-27,,,14,,,51,,,61,,,75
EPS in Rs,NAZARA,10.58,,,,,,,,,,,,,,,,,,161.30,,,152.58,,,0.50,,,3.19,,,-0.38,,,1.51,,,4.36,,,5.95,,,7.39
Dividend Payout %,NAZARA,,,,,,,,,,,,,,,,,,,31%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%
Sales,NEOGEN,706,,,,,,,,,,74,,,,84,,,,100,,,110,,,161,,,239,,,306,,,336,,,487,,,686,,,691
Expenses,NEOGEN,593,,,,,,,,,,62,,,,71,,,,86,,,90,,,132,,,196,,,248,,,272,,,401,,,575,,,581
Operating Profit,NEOGEN,113,,,,,,,,,,11,,,,13,,,,14,,,20,,,29,,,43,,,58,,,64,,,87,,,112,,,110
OPM %,NEOGEN,16%,,,,,,,,,,16%,,,,15%,,,,14%,,,18%,,,18%,,,18%,,,19%,,,19%,,,18%,,,16%,,,16%
Other Income,NEOGEN,7,,,,,,,,,,0,,,,1,,,,0,,,0,,,1,,,1,,,0,,,1,,,1,,,5,,,8
Interest,NEOGEN,41,,,,,,,,,,5,,,,5,,,,5,,,8,,,10,,,12,,,12,,,14,,,19,,,29,,,42
Depreciation,NEOGEN,24,,,,,,,,,,1,,,,1,,,,1,,,1,,,2,,,3,,,5,,,7,,,12,,,16,,,23
Profit before tax,NEOGEN,55,,,,,,,,,,6,,,,8,,,,8,,,12,,,17,,,29,,,41,,,44,,,57,,,71,,,53
Tax %,NEOGEN,,,,,,,,,,,41%,,,,37%,,,,39%,,,33%,,,37%,,,28%,,,30%,,,29%,,,22%,,,30%,,,32%
Net Profit,NEOGEN,37,,,,,,,,,,4,,,,5,,,,5,,,8,,,11,,,21,,,29,,,31,,,45,,,50,,,36
EPS in Rs,NEOGEN,14.35,,,,,,,,,,8.09,,,,11.31,,,,2.59,,,3.84,,,5.49,,,10.43,,,12.28,,,13.43,,,17.90,,,20.04,,,13.51
Dividend Payout %,NEOGEN,,,,,,,,,,,25%,,,,18%,,,,17%,,,0%,,,18%,,,14%,,,16%,,,17%,,,15%,,,15%,,,15%
Sales,NESTLEIND,19719,,,,,,,,,9101,,,,9855,,,,8175,,,9141,,,10010,,,11292,,,12369,,,13350,,,14741,,,16897,,,19126,24394
Expenses,NESTLEIND,14936,,,,,,,,,7153,,,,7816,,,,6620,,,7292,,,7913,,,8675,,,9443,,,10149,,,11178,,,13191,,,14655,18581
Operating Profit,NESTLEIND,4783,,,,,,,,,1948,,,,2039,,,,1555,,,1850,,,2097,,,2618,,,2926,,,3202,,,3562,,,3706,,,4471,5813
OPM %,NESTLEIND,24%,,,,,,,,,21%,,,,21%,,,,19%,,,20%,,,21%,,,23%,,,24%,,,24%,,,24%,,,22%,,,23%,24%
Other Income,NESTLEIND,139,,,,,,,,,97,,,,87,,,,-391,,,140,,,177,,,259,,,247,,,146,,,-112,,,107,,,116,159
Interest,NESTLEIND,112,,,,,,,,,37,,,,14,,,,3,,,91,,,92,,,112,,,129,,,164,,,202,,,155,,,119,145
Depreciation,NESTLEIND,441,,,,,,,,,330,,,,338,,,,347,,,354,,,342,,,336,,,370,,,370,,,391,,,403,,,429,538
Profit before tax,NESTLEIND,4368,,,,,,,,,1678,,,,1774,,,,814,,,1545,,,1839,,,2429,,,2673,,,2813,,,2857,,,3256,,,4038,5289
